Table S5: Skewing of ABIS-samples as measured by mini-TRiXi using 2 out of 5 repeats.			
sample	mean_skewing	TRiXi1_skewing	TRiXi3_skewing
302868	53.6	50.9	56.3
307942	53.6	55.6	51.6
317974	53.6	53.6	homozygous
300188	53.5	55.8	51.2
301021	53.5	52.7	54.3
301494	53.5	50.4	56.6
303037	53.5	53	54.1
307821	53.5	homozygous	53.5
318198	53.5	53.2	53.8
301160	53.4	50.7	56.1
303632	53.4	53.6	53.2
303637	53.4	54	52.7
302858	53.3	54.8	51.8
302864	53.3	homozygous	53.3
303673	53.3	homozygous	53.3
324044	53.3	53.3	homozygous
300205	53.2	homozygous	53.2
303008	53.2	53.4	53
300133	53.1	53.1	homozygous
301064	53.1	56.1	50.1
303504	53.1	53.5	52.8
300089	52.8	homozygous	52.8
300146	52.7	homozygous	52.7
300457	52.5	52.2	52.7
301105	52.5	50.5	54.6
301116	52.5	54.4	50.6
301184	52.5	51.7	53.2
301558	52.5	51.3	53.8
303497	52.5	52.2	52.7
315269	52.5	53.8	51.2
300543	52.4	homozygous	52.4
303620	52.4	51.7	53.1
307832	52.4	52.9	51.9
319235	52.4	52.4	homozygous
300537	52.3	homozygous	52.3
301144	52.3	52.3	homozygous
317234	52.3	50.8	53.8
300444	52.2	53.2	51.2
300551	52.2	54.3	50.1
300855	52.2	53.7	50.7
301127	52.2	50.7	53.6
301359	52.2	52.2	homozygous
302878	52.2	homozygous	52.2
302830	52.1	51.3	52.9
302966	51.9	52.2	51.5
303682	51.9	51.9	homozygous
302754	51.8	50.8	52.7
303202	51.8	52.8	50.8
307899	51.8	51.8	homozygous
316472	51.8	51.3	52.3
316732	51.8	51.8	homozygous
318005	51.8	52.7	50.9
301095	51.6	51.6	homozygous
301102	51.6	51.6	homozygous
322960	51.6	52.8	50.5
301228	51.5	51.3	51.6
303773	51.5	51.3	51.7
300332	51.4	51.7	51.1
300968	51.4	50.3	52.5
301111	51.4	homozygous	51.4
301423	51.4	52.2	50.5
303717	51.3	homozygous	51.3
300547	51.2	51.2	homozygous
319080	51.2	51.2	homozygous
319000	51.1	homozygous	51.1
300191	50.9	51.7	50
301134	50.9	51.2	50.5
301495	50.9	homozygous	50.9
303628	50.9	50.9	homozygous
300318	50.8	50.8	50.9
301042	50.8	50.1	51.4
303459	50.8	50.8	homozygous
317490	50.8	homozygous	50.8
317526	50.8	homozygous	50.8
302852	50.7	51.2	50.1
319276	50.7	homozygous	50.7
300955	50.6	50.6	homozygous
302806	50.6	50.1	51.1
300928	50.5	50.8	50.1
316314	50.5	50.9	50.1
