participant	variable	n	min	max	median	iqr	mean	sd	se	ci
GTEX-13U4I	median	24	0.056	0.194	0.085	0.058	0.099	0.042	0.008	0.018
GTEX-13VXT	median	22	0.074	0.389	0.164	0.098	0.175	0.086	0.018	0.038
GTEX-13W3W	median	25	0.06	0.439	0.094	0.052	0.124	0.083	0.017	0.034
GTEX-13X6H	median	17	0.058	0.3	0.117	0.073	0.127	0.064	0.016	0.033
GTEX-13X6K	median	25	0.053	0.177	0.081	0.029	0.086	0.026	0.005	0.011
GTEX-145LS	median	26	0.042	0.289	0.098	0.057	0.118	0.058	0.011	0.023
GTEX-145MI	median	16	0.094	0.4	0.196	0.123	0.221	0.089	0.022	0.047
GTEX-146FH	median	21	0.081	0.368	0.24	0.082	0.227	0.076	0.017	0.034
GTEX-146FR	median	18	0.065	0.377	0.162	0.134	0.186	0.1	0.024	0.05
GTEX-147F3	median	11	0.066	0.39	0.119	0.052	0.147	0.092	0.028	0.062
GTEX-148VI	median	11	0.086	0.321	0.181	0.099	0.174	0.07	0.021	0.047
GTEX-14A5I	median	15	0.071	0.371	0.167	0.153	0.188	0.094	0.024	0.052
GTEX-14AS3	median	21	0.06	0.25	0.09	0.051	0.111	0.054	0.012	0.025
GTEX-14BIM	median	22	0.132	0.414	0.23	0.059	0.239	0.07	0.015	0.031
GTEX-14BIN	median	27	0.052	0.223	0.083	0.06	0.099	0.041	0.008	0.016
GTEX-14BMU	median	23	0.061	0.326	0.104	0.058	0.129	0.064	0.013	0.028
GTEX-14DAQ	median	30	0.111	0.382	0.235	0.132	0.234	0.078	0.014	0.029
GTEX-14H4A	median	12	0.132	0.393	0.246	0.103	0.255	0.086	0.025	0.054
GTEX-14JG6	median	21	0.06	0.285	0.116	0.111	0.138	0.066	0.014	0.03
GTEX-14LLW	median	16	0.071	0.317	0.168	0.126	0.177	0.077	0.019	0.041
GTEX-14LZ3	median	16	0.161	0.485	0.3	0.121	0.298	0.086	0.022	0.046
GTEX-14PHW	median	8	0.145	0.45	0.244	0.126	0.248	0.104	0.037	0.087
GTEX-14PHY	median	13	0.065	0.389	0.167	0.111	0.203	0.099	0.028	0.06
GTEX-14PJ5	median	13	0.112	0.429	0.214	0.05	0.233	0.092	0.025	0.056
GTEX-14PJ6	median	20	0.052	0.4	0.142	0.089	0.162	0.08	0.018	0.037
GTEX-14PK6	median	21	0.061	0.379	0.108	0.115	0.141	0.084	0.018	0.038
GTEX-14PKU	median	15	0.053	0.202	0.073	0.052	0.095	0.042	0.011	0.023
GTEX-14PKV	median	13	0.059	0.357	0.205	0.16	0.183	0.104	0.029	0.063
GTEX-14PN3	median	19	0.058	0.325	0.149	0.123	0.156	0.081	0.019	0.039
GTEX-14PQA	median	12	0.07	0.339	0.083	0.035	0.114	0.075	0.022	0.047
GTEX-14XAO	median	15	0.061	0.352	0.097	0.108	0.127	0.08	0.021	0.044
GTEX-15CHC	median	18	0.079	0.429	0.252	0.09	0.244	0.085	0.02	0.042
GTEX-15DCD	median	19	0.112	0.326	0.229	0.084	0.225	0.06	0.014	0.029
GTEX-15DCZ	median	12	0.062	0.242	0.106	0.054	0.116	0.052	0.015	0.033
GTEX-15DDE	median	18	0.056	0.252	0.12	0.079	0.137	0.056	0.013	0.028
GTEX-15DYW	median	29	0.095	0.375	0.256	0.098	0.247	0.073	0.014	0.028
GTEX-15DZA	median	13	0.056	0.297	0.1	0.026	0.121	0.07	0.019	0.042
GTEX-15EOM	median	10	0.065	0.3	0.125	0.072	0.126	0.071	0.022	0.051
GTEX-15ETS	median	13	0.054	0.457	0.218	0.155	0.218	0.112	0.031	0.067
GTEX-15FZZ	median	13	0.1	0.402	0.257	0.111	0.262	0.082	0.023	0.049
GTEX-15SB6	median	12	0.069	0.343	0.152	0.139	0.176	0.086	0.025	0.054
GTEX-15SDE	median	11	0.052	0.25	0.111	0.088	0.122	0.063	0.019	0.042
GTEX-15SHU	median	20	0.062	0.318	0.138	0.118	0.163	0.072	0.016	0.034
GTEX-15UF6	median	19	0.036	0.332	0.086	0.088	0.118	0.07	0.016	0.034
GTEX-16A39	median	4	0.057	0.25	0.134	0.145	0.144	0.095	0.048	0.152
GTEX-16BQI	median	13	0.113	0.462	0.266	0.084	0.292	0.093	0.026	0.056
GTEX-16MT8	median	18	0.106	0.5	0.18	0.14	0.21	0.109	0.026	0.054
GTEX-16MT9	median	4	0.06	0.184	0.12	0.038	0.121	0.051	0.025	0.081
GTEX-16NGA	median	22	0.225	0.435	0.316	0.078	0.32	0.06	0.013	0.027
GTEX-16NPV	median	14	0.077	0.238	0.152	0.078	0.156	0.049	0.013	0.028
GTEX-17F98	median	17	0.071	0.286	0.138	0.11	0.151	0.061	0.015	0.031
GTEX-17F9Y	median	13	0.056	0.154	0.1	0.065	0.103	0.034	0.009	0.02
GTEX-17HG3	median	23	0.09	0.404	0.261	0.119	0.252	0.081	0.017	0.035
GTEX-17JCI	median	25	0.071	0.23	0.141	0.066	0.135	0.043	0.009	0.018
