sample	variable	value	XCI pattern
301217	mean	58.8	mosaic
301217	TRiXi1	60.5	mosaic
301217	TRiXi3	57.1	mosaic
301227	mean	87.8	extremely skewed
301227	TRiXi1	90.4	extremely skewed
301227	TRiXi3	85.1	extremely skewed
301228	mean	51.5	mosaic
301228	TRiXi1	51.3	mosaic
301228	TRiXi3	51.6	mosaic
301234	mean	70.3	mosaic
301234	TRiXi1	67.9	mosaic
301234	TRiXi3	72.7	mosaic
301236	mean	64.3	mosaic
301236	TRiXi1	55.7	mosaic
301236	TRiXi3	73	mosaic
301239	mean	65.6	mosaic
301239	TRiXi1	61.7	mosaic
301239	TRiXi3	69.5	mosaic
301245	mean	55.4	mosaic
301245	TRiXi1	58.6	mosaic
301245	TRiXi3	52.1	mosaic
301252	mean	54	mosaic
301252	TRiXi1	52.3	mosaic
301252	TRiXi3	55.7	mosaic
301255	mean	54.4	mosaic
301255	TRiXi1	56.8	mosaic
301255	TRiXi3	52	mosaic
301262	mean	58.3	mosaic
301262	TRiXi1	66.2	mosaic
301262	TRiXi3	50.4	mosaic
301273	mean	61	mosaic
301273	TRiXi1	57.3	mosaic
301273	TRiXi3	64.8	mosaic
301276	mean	55.6	mosaic
301276	TRiXi3	55.6	mosaic
301282	mean	57.5	mosaic
301282	TRiXi1	60	mosaic
301282	TRiXi3	55.1	mosaic
301284	mean	54.1	mosaic
301284	TRiXi3	54.1	mosaic
301295	mean	50.4	mosaic
301295	TRiXi3	50.4	mosaic
301297	mean	50.4	mosaic
301297	TRiXi3	50.4	mosaic
301356	mean	59.4	mosaic
301356	TRiXi1	51	mosaic
301356	TRiXi3	67.8	mosaic
301359	mean	52.2	mosaic
301359	TRiXi1	52.2	mosaic
301363	mean	95.4	extremely skewed
301363	TRiXi1	96.2	extremely skewed
301363	TRiXi3	94.6	extremely skewed
301374	mean	65.2	mosaic
301374	TRiXi1	61.6	mosaic
301374	TRiXi3	68.7	mosaic
301381	mean	56.3	mosaic
301381	TRiXi1	59.9	mosaic
301381	TRiXi3	52.7	mosaic
301383	mean	74.5	skewed
301383	TRiXi1	74.5	skewed
301385	mean	59.2	mosaic
301385	TRiXi3	59.2	mosaic
301394	mean	55	mosaic
301394	TRiXi1	55	mosaic
301402	mean	74.3	skewed
301402	TRiXi1	73.3	skewed
301402	TRiXi3	75.3	skewed
301406	mean	56.2	mosaic
301406	TRiXi1	56.2	mosaic
301410	mean	63.2	mosaic
301410	TRiXi1	62.7	mosaic
301410	TRiXi3	63.6	mosaic
301411	mean	77.6	skewed
301411	TRiXi1	80	skewed
301411	TRiXi3	75.2	skewed
301414	mean	77.7	skewed
301414	TRiXi1	65.9	skewed
301414	TRiXi3	89.4	skewed
301423	mean	51.4	mosaic
301423	TRiXi1	52.2	mosaic
301423	TRiXi3	50.5	mosaic
301425	mean	79.6	skewed
301425	TRiXi3	79.6	skewed
301435	mean	86.4	extremely skewed
301435	TRiXi1	86.4	extremely skewed
301443	mean	64.8	mosaic
301443	TRiXi1	66.4	mosaic
301443	TRiXi3	63.1	mosaic
301445	mean	66.6	mosaic
301445	TRiXi1	66.6	mosaic
301446	mean	64.3	mosaic
301446	TRiXi1	59.9	mosaic
301446	TRiXi3	68.7	mosaic
301447	mean	72.7	skewed
301447	TRiXi1	72.7	skewed
301456	mean	54.4	mosaic
301456	TRiXi1	58.6	mosaic
301456	TRiXi3	50.2	mosaic
301458	mean	58.3	mosaic
301458	TRiXi1	58.3	mosaic
301462	mean	59.1	mosaic
301462	TRiXi1	59.1	mosaic
301463	mean	59	mosaic
301463	TRiXi1	59	mosaic
301463	TRiXi3	59	mosaic
301464	mean	60.9	mosaic
301464	TRiXi1	58.2	mosaic
301464	TRiXi3	63.6	mosaic
301465	mean	71	mosaic
301465	TRiXi1	71	mosaic
301472	mean	57.2	mosaic
301472	TRiXi1	57.2	mosaic
301478	mean	66.4	mosaic
301478	TRiXi1	67.4	mosaic
301478	TRiXi3	65.5	mosaic
301481	mean	73.8	skewed
301481	TRiXi1	68	skewed
301481	TRiXi3	79.6	skewed
301494	mean	53.5	mosaic
301494	TRiXi1	50.4	mosaic
301494	TRiXi3	56.6	mosaic
301495	mean	50.9	mosaic
301495	TRiXi3	50.9	mosaic
301501	mean	64.8	mosaic
301501	TRiXi1	63.7	mosaic
301501	TRiXi3	66	mosaic
301502	mean	65.4	mosaic
301502	TRiXi3	65.4	mosaic
301510	mean	53.9	mosaic
301510	TRiXi1	52.4	mosaic
301510	TRiXi3	55.4	mosaic
301511	mean	55.3	mosaic
301511	TRiXi3	55.3	mosaic
301520	mean	70.3	mosaic
301520	TRiXi1	67.7	mosaic
301520	TRiXi3	73	mosaic
301521	mean	84.3	extremely skewed
301521	TRiXi1	85.2	extremely skewed
301521	TRiXi3	83.4	extremely skewed
301526	mean	56.9	mosaic
301526	TRiXi1	59.2	mosaic
301526	TRiXi3	54.6	mosaic
301528	mean	57.7	mosaic
301528	TRiXi1	56.6	mosaic
301528	TRiXi3	58.7	mosaic
301534	mean	80.1	extremely skewed
301534	TRiXi3	80.1	extremely skewed
301539	mean	54.7	mosaic
301539	TRiXi1	54.7	mosaic
301540	mean	61.4	mosaic
301540	TRiXi1	58.4	mosaic
301540	TRiXi3	64.4	mosaic
301543	mean	58.7	mosaic
301543	TRiXi1	58.6	mosaic
301543	TRiXi3	58.8	mosaic
301546	mean	58.8	mosaic
301546	TRiXi1	61.8	mosaic
301546	TRiXi3	55.7	mosaic
301548	mean	55.6	mosaic
301548	TRiXi1	55.6	mosaic
301549	mean	64.2	mosaic
301549	TRiXi1	57.9	mosaic
301549	TRiXi3	70.5	mosaic
301555	mean	55.6	mosaic
301555	TRiXi1	55.6	mosaic
301556	mean	66.7	mosaic
301556	TRiXi1	66.7	mosaic
301558	mean	52.5	mosaic
301558	TRiXi1	51.3	mosaic
301558	TRiXi3	53.8	mosaic
301559	mean	64.2	mosaic
301559	TRiXi3	64.2	mosaic
301560	mean	78.1	skewed
301560	TRiXi1	81	skewed
301560	TRiXi3	75.2	skewed
301564	mean	69.7	mosaic
301564	TRiXi1	66.5	mosaic
301564	TRiXi3	72.8	mosaic
301570	mean	60.2	mosaic
301570	TRiXi1	60.8	mosaic
301570	TRiXi3	59.7	mosaic
301574	mean	69.7	mosaic
301574	TRiXi1	72.1	mosaic
301574	TRiXi3	67.3	mosaic
301576	mean	57	mosaic
301576	TRiXi3	57	mosaic
301592	mean	58.5	mosaic
301592	TRiXi1	60.1	mosaic
301592	TRiXi3	56.9	mosaic
302504	mean	52.3	mosaic
302504	TRiXi2	50.2	mosaic
302504	TRiXi3	56.4	mosaic
302504	TRiXi4	50.4	mosaic
302632	mean	65.5	mosaic
302632	TRiXi3	61.7	mosaic
302632	TRiXi5	69.3	mosaic
302701	mean	62.5	mosaic
302701	TRiXi1	66.5	mosaic
302701	TRiXi3	58.4	mosaic
