sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
303778	value	2	54.7	54.7	54.7	0	54.7	0	0	0	mosaic
303786	value	2	71.2	71.2	71.2	0	71.2	0	0	0	skewed
303787	value	3	71.1	73.3	72.2	1.1	72.2	1.1	0.635	2.733	skewed
303795	value	2	67	67	67	0	67	0	0	0	mosaic
303799	value	3	54.2	59.6	56.9	2.7	56.9	2.7	1.559	6.707	mosaic
303800	value	2	73.1	73.1	73.1	0	73.1	0	0	0	skewed
305105	value	3	55.1	61.5	58.3	3.2	58.3	3.2	1.848	7.949	mosaic
305127	value	3	57	67.9	62.5	5.45	62.467	5.45	3.147	13.539	mosaic
305130	value	3	56	63.5	59.8	3.75	59.767	3.75	2.165	9.316	mosaic
305131	value	3	52.6	65.5	59	6.45	59.033	6.45	3.724	16.023	mosaic
305151	value	3	56.9	66.2	61.5	4.65	61.533	4.65	2.685	11.551	mosaic
305163	value	3	63.7	76.1	69.9	6.2	69.9	6.2	3.58	15.402	mosaic
305165	value	3	74.9	75.1	75	0.1	75	0.1	0.058	0.248	skewed
305177	value	2	66.4	66.4	66.4	0	66.4	0	0	0	mosaic
305354	value	2	66.7	66.7	66.7	0	66.7	0	0	0	mosaic
305369	value	3	57	59.7	58.4	1.35	58.367	1.35	0.78	3.354	mosaic
305379	value	2	59	59	59	0	59	0	0	0	mosaic
305382	value	2	58.1	58.1	58.1	0	58.1	0	0	0	mosaic
305391	value	3	50.8	56.8	53.8	3	53.8	3	1.732	7.452	mosaic
307816	value	2	67	67	67	0	67	0	0	0	mosaic
307821	value	2	53.5	53.5	53.5	0	53.5	0	0	0	mosaic
307822	value	3	54.7	60.6	57.7	2.95	57.667	2.95	1.703	7.329	mosaic
307827	value	3	70.1	85.2	77.7	7.55	77.667	7.55	4.359	18.755	skewed
307832	value	3	51.9	52.9	52.4	0.5	52.4	0.5	0.289	1.242	mosaic
307835	value	2	58.6	58.6	58.6	0	58.6	0	0	0	mosaic
307837	value	3	52.3	58.3	55.3	3	55.3	3	1.732	7.452	mosaic
307838	value	3	63.1	69.6	66.3	3.25	66.333	3.25	1.876	8.074	mosaic
307839	value	3	78.3	90.6	84.4	6.15	84.433	6.15	3.551	15.278	extremely skewed
307899	value	2	51.8	51.8	51.8	0	51.8	0	0	0	mosaic
307902	value	3	64.3	78.1	71.2	6.9	71.2	6.9	3.984	17.141	skewed
307903	value	3	50.1	57.7	53.9	3.8	53.9	3.8	2.194	9.44	mosaic
307915	value	3	60.9	62.5	61.7	0.8	61.7	0.8	0.462	1.987	mosaic
307917	value	3	69	74	71.5	2.5	71.5	2.5	1.443	6.21	skewed
307919	value	2	67.5	67.5	67.5	0	67.5	0	0	0	mosaic
307921	value	3	58	71.1	64.6	6.55	64.567	6.55	3.782	16.271	mosaic
307924	value	2	64.7	64.7	64.7	0	64.7	0	0	0	mosaic
307927	value	2	85.5	85.5	85.5	0	85.5	0	0	0	extremely skewed
307929	value	2	50.2	50.2	50.2	0	50.2	0	0	0	mosaic
307933	value	3	50.2	59.3	54.8	4.55	54.767	4.55	2.627	11.303	mosaic
307937	value	3	52.3	58.5	55.4	3.1	55.4	3.1	1.79	7.701	mosaic
307938	value	3	50.7	57.3	54	3.3	54	3.3	1.905	8.198	mosaic
307940	value	3	68.9	73.4	71.2	2.25	71.167	2.25	1.299	5.59	skewed
307942	value	3	51.6	55.6	53.6	2	53.6	2	1.155	4.968	mosaic
307959	value	2	60.7	60.7	60.7	0	60.7	0	0	0	mosaic
307973	value	3	58.3	61.4	59.8	1.55	59.833	1.55	0.895	3.851	mosaic
307974	value	2	62.2	62.2	62.2	0	62.2	0	0	0	mosaic
307976	value	2	55.6	55.6	55.6	0	55.6	0	0	0	mosaic
307999	value	3	58.2	60.6	59.4	1.2	59.4	1.2	0.693	2.981	mosaic
309242	value	5	73.8	80.9	76.8	4.4	76.78	3.009	1.346	3.736	skewed
313013	value	5	52	55.8	53.7	1.5	53.68	1.462	0.654	1.815	mosaic
313605	value	6	58	64.4	61.15	2.05	61.067	2.203	0.9	2.312	mosaic
313609	value	5	53.3	66.9	63.9	3.2	62.42	5.375	2.404	6.674	mosaic
313633	value	2	72.3	72.3	72.3	0	72.3	0	0	0	skewed
313639	value	3	62.8	65.5	64.2	1.35	64.167	1.35	0.78	3.354	mosaic
313642	value	2	58.4	58.4	58.4	0	58.4	0	0	0	mosaic
313644	value	5	52.2	60.3	56.6	6.6	56.58	3.708	1.658	4.605	mosaic
313668	value	5	79.2	85.4	82.2	3.2	82.16	2.471	1.105	3.069	extremely skewed
313673	value	4	51.4	56.6	55.35	2.275	54.675	2.323	1.161	3.696	mosaic
313690	value	6	61.1	71.2	67.55	1.425	67.067	3.323	1.357	3.487	mosaic
313694	value	3	54.7	65.5	60.1	5.4	60.1	5.4	3.118	13.414	mosaic
313696	value	3	51.7	54.5	52.2	1.4	52.8	1.493	0.862	3.71	mosaic
313697	value	5	61.2	72.3	67.1	0.9	67.1	3.953	1.768	4.908	mosaic
