sample	method	variable	n	min	max	median	iqr	mean	sd	se	ci
301481	mini	value	3	68	79.6	73.8	5.8	73.8	5.8	3.349	14.408
301494	mini	value	3	50.4	56.6	53.5	3.1	53.5	3.1	1.79	7.701
301495	mini	value	2	50.9	50.9	50.9	0	50.9	0	0	0
301501	mini	value	3	63.7	66	64.8	1.15	64.833	1.15	0.664	2.858
301502	mini	value	2	65.4	65.4	65.4	0	65.4	0	0	0
301510	mini	value	3	52.4	55.4	53.9	1.5	53.9	1.5	0.866	3.726
301511	mini	value	2	55.3	55.3	55.3	0	55.3	0	0	0
301520	mini	value	3	67.7	73	70.3	2.65	70.333	2.65	1.53	6.583
301521	mini	value	3	83.4	85.2	84.3	0.9	84.3	0.9	0.52	2.236
301526	mini	value	3	54.6	59.2	56.9	2.3	56.9	2.3	1.328	5.714
301528	mini	value	3	56.6	58.7	57.7	1.05	57.667	1.05	0.606	2.609
301534	mini	value	2	80.1	80.1	80.1	0	80.1	0	0	0
301539	mini	value	2	54.7	54.7	54.7	0	54.7	0	0	0
301540	mini	value	3	58.4	64.4	61.4	3	61.4	3	1.732	7.452
301543	mini	value	3	58.6	58.8	58.7	0.1	58.7	0.1	0.058	0.248
301546	mini	value	3	55.7	61.8	58.8	3.05	58.767	3.05	1.761	7.577
301548	mini	value	2	55.6	55.6	55.6	0	55.6	0	0	0
301549	mini	value	3	57.9	70.5	64.2	6.3	64.2	6.3	3.637	15.65
301555	mini	value	2	55.6	55.6	55.6	0	55.6	0	0	0
301556	mini	value	2	66.7	66.7	66.7	0	66.7	0	0	0
301558	mini	value	3	51.3	53.8	52.5	1.25	52.533	1.25	0.722	3.106
301559	mini	value	2	64.2	64.2	64.2	0	64.2	0	0	0
301560	mini	value	3	75.2	81	78.1	2.9	78.1	2.9	1.674	7.204
301564	mini	value	3	66.5	72.8	69.7	3.15	69.667	3.15	1.819	7.825
301570	mini	value	3	59.7	60.8	60.2	0.55	60.233	0.551	0.318	1.368
301574	mini	value	3	67.3	72.1	69.7	2.4	69.7	2.4	1.386	5.962
301576	mini	value	2	57	57	57	0	57	0	0	0
301592	mini	value	3	56.9	60.1	58.5	1.6	58.5	1.6	0.924	3.975
302504	full	value	4	50.2	56.4	51.35	2.975	52.325	2.877	1.438	4.578
302632	full	value	3	61.7	69.3	65.5	3.8	65.5	3.8	2.194	9.44
302701	mini	value	3	58.4	66.5	62.5	4.05	62.467	4.05	2.338	10.061
302707	mini	value	3	74	76.4	75.2	1.2	75.2	1.2	0.693	2.981
302708	mini	value	3	55.5	61.5	58.5	3	58.5	3	1.732	7.452
302709	mini	value	2	61.1	61.1	61.1	0	61.1	0	0	0
302712	mini	value	3	54.4	69.4	61.9	7.5	61.9	7.5	4.33	18.631
302714	mini	value	2	55.5	55.5	55.5	0	55.5	0	0	0
302715	mini	value	3	64.8	73	68.9	4.1	68.9	4.1	2.367	10.185
302716	mini	value	3	62.5	68.3	65.4	2.9	65.4	2.9	1.674	7.204
302717	mini	value	3	64.9	74.5	69.7	4.8	69.7	4.8	2.771	11.924
302722	mini	value	3	50.1	52	51	0.95	51.033	0.95	0.549	2.361
302724	mini	value	3	51.3	60.7	56	4.7	56	4.7	2.714	11.675
302727	mini	value	3	57.4	63.4	60.4	3	60.4	3	1.732	7.452
302730	mini	value	3	54.4	58.7	56.5	2.15	56.533	2.15	1.241	5.341
302733	mini	value	3	56.4	57.7	57	0.65	57.033	0.651	0.376	1.616
302734	mini	value	3	65.7	71.1	68.4	2.7	68.4	2.7	1.559	6.707
302739	mini	value	3	76.4	77.5	77	0.55	76.967	0.551	0.318	1.368
302740	mini	value	2	57.2	57.2	57.2	0	57.2	0	0	0
302753	mini	value	3	55.2	55.3	55.2	0.05	55.233	0.058	0.033	0.143
302754	mini	value	3	50.8	52.7	51.8	0.95	51.767	0.95	0.549	2.361
302757	mini	value	2	77.6	77.6	77.6	0	77.6	0	0	0
302766	mini	value	3	52.8	55.2	54	1.2	54	1.2	0.693	2.981
302767	mini	value	3	52.7	54.5	53.6	0.9	53.6	0.9	0.52	2.236
302806	mini	value	3	50.1	51.1	50.6	0.5	50.6	0.5	0.289	1.242
302815	mini	value	3	62.3	64.1	63.2	0.9	63.2	0.9	0.52	2.236
302825	mini	value	2	84.7	84.7	84.7	0	84.7	0	0	0
302828	mini	value	3	53.7	63.5	58.6	4.9	58.6	4.9	2.829	12.172
302830	mini	value	3	51.3	52.9	52.1	0.8	52.1	0.8	0.462	1.987
